[2024-09-11T08:00:30.087+0000] {logging_mixin.py:190} WARNING - 0.8%
[2024-09-11T08:00:30.099+0000] {logging_mixin.py:190} WARNING - 0.9%
[2024-09-11T08:00:30.108+0000] {logging_mixin.py:190} WARNING - 1.0%
[2024-09-11T08:00:30.120+0000] {logging_mixin.py:190} WARNING - 1.2%
[2024-09-11T08:00:30.134+0000] {logging_mixin.py:190} WARNING - 1.3%
[2024-09-11T08:00:30.142+0000] {logging_mixin.py:190} WARNING - 1.4%
[2024-09-11T08:00:30.155+0000] {logging_mixin.py:190} WARNING - 1.5%
[2024-09-11T08:00:30.164+0000] {logging_mixin.py:190} WARNING - 1.7%
[2024-09-11T08:00:30.176+0000] {logging_mixin.py:190} WARNING - 1.8%
[2024-09-11T08:00:30.187+0000] {logging_mixin.py:190} WARNING - 1.9%
[2024-09-11T08:00:30.198+0000] {logging_mixin.py:190} WARNING - 2.0%
[2024-09-11T08:00:30.209+0000] {logging_mixin.py:190} WARNING - 2.2%
[2024-09-11T08:00:30.220+0000] {logging_mixin.py:190} WARNING - 2.3%
[2024-09-11T08:00:30.230+0000] {logging_mixin.py:190} WARNING - 2.4%
[2024-09-11T08:00:30.243+0000] {logging_mixin.py:190} WARNING - 2.6%
[2024-09-11T08:00:30.256+0000] {logging_mixin.py:190} WARNING - 2.7%
[2024-09-11T08:00:30.267+0000] {logging_mixin.py:190} WARNING - 2.8%
[2024-09-11T08:00:30.276+0000] {logging_mixin.py:190} WARNING - 2.9%
[2024-09-11T08:00:30.287+0000] {logging_mixin.py:190} WARNING - 3.1%
[2024-09-11T08:00:30.299+0000] {logging_mixin.py:190} WARNING - 3.2%
[2024-09-11T08:00:30.309+0000] {logging_mixin.py:190} WARNING - 3.3%
[2024-09-11T08:00:30.320+0000] {logging_mixin.py:190} WARNING - 3.5%
[2024-09-11T08:00:30.332+0000] {logging_mixin.py:190} WARNING - 3.6%
[2024-09-11T08:00:30.342+0000] {logging_mixin.py:190} WARNING - 3.7%
[2024-09-11T08:00:30.354+0000] {logging_mixin.py:190} WARNING - 3.8%
[2024-09-11T08:00:30.364+0000] {logging_mixin.py:190} WARNING - 4.0%
[2024-09-11T08:00:30.375+0000] {logging_mixin.py:190} WARNING - 4.1%
[2024-09-11T08:00:30.385+0000] {logging_mixin.py:190} WARNING - 4.2%
[2024-09-11T08:00:30.396+0000] {logging_mixin.py:190} WARNING - 4.3%
[2024-09-11T08:00:30.408+0000] {logging_mixin.py:190} WARNING - 4.5%
[2024-09-11T08:00:30.420+0000] {logging_mixin.py:190} WARNING - 4.6%
[2024-09-11T08:00:30.430+0000] {logging_mixin.py:190} WARNING - 4.7%
[2024-09-11T08:00:30.442+0000] {logging_mixin.py:190} WARNING - 4.9%
[2024-09-11T08:00:30.452+0000] {logging_mixin.py:190} WARNING - 5.0%
[2024-09-11T08:00:30.465+0000] {logging_mixin.py:190} WARNING - 5.1%
[2024-09-11T08:00:30.474+0000] {logging_mixin.py:190} WARNING - 5.2%
[2024-09-11T08:00:30.486+0000] {logging_mixin.py:190} WARNING - 5.4%
[2024-09-11T08:00:30.497+0000] {logging_mixin.py:190} WARNING - 5.5%
[2024-09-11T08:00:30.508+0000] {logging_mixin.py:190} WARNING - 5.6%
[2024-09-11T08:00:30.520+0000] {logging_mixin.py:190} WARNING - 5.8%
[2024-09-11T08:00:30.532+0000] {logging_mixin.py:190} WARNING - 5.9%
[2024-09-11T08:00:30.542+0000] {logging_mixin.py:190} WARNING - 6.0%
[2024-09-11T08:00:30.552+0000] {logging_mixin.py:190} WARNING - 6.1%
[2024-09-11T08:00:30.565+0000] {logging_mixin.py:190} WARNING - 6.3%
[2024-09-11T08:00:30.574+0000] {logging_mixin.py:190} WARNING - 6.4%
[2024-09-11T08:00:30.585+0000] {logging_mixin.py:190} WARNING - 6.5%
[2024-09-11T08:00:30.597+0000] {logging_mixin.py:190} WARNING - 6.6%
[2024-09-11T08:00:30.610+0000] {logging_mixin.py:190} WARNING - 6.8%
[2024-09-11T08:00:30.620+0000] {logging_mixin.py:190} WARNING - 6.9%
[2024-09-11T08:00:30.630+0000] {logging_mixin.py:190} WARNING - 7.0%
[2024-09-11T08:00:30.640+0000] {logging_mixin.py:190} WARNING - 7.2%
[2024-09-11T08:00:30.652+0000] {logging_mixin.py:190} WARNING - 7.3%
[2024-09-11T08:00:30.662+0000] {logging_mixin.py:190} WARNING - 7.4%
[2024-09-11T08:00:30.673+0000] {logging_mixin.py:190} WARNING - 7.5%
[2024-09-11T08:00:30.685+0000] {logging_mixin.py:190} WARNING - 7.7%
[2024-09-11T08:00:30.698+0000] {logging_mixin.py:190} WARNING - 7.8%
[2024-09-11T08:00:30.708+0000] {logging_mixin.py:190} WARNING - 7.9%
[2024-09-11T08:00:30.720+0000] {logging_mixin.py:190} WARNING - 8.1%
[2024-09-11T08:00:30.729+0000] {logging_mixin.py:190} WARNING - 8.2%
[2024-09-11T08:00:30.741+0000] {logging_mixin.py:190} WARNING - 8.3%
[2024-09-11T08:00:30.752+0000] {logging_mixin.py:190} WARNING - 8.4%
[2024-09-11T08:00:30.765+0000] {logging_mixin.py:190} WARNING - 8.6%
[2024-09-11T08:00:30.773+0000] {logging_mixin.py:190} WARNING - 8.7%
[2024-09-11T08:00:30.787+0000] {logging_mixin.py:190} WARNING - 8.8%
[2024-09-11T08:00:30.796+0000] {logging_mixin.py:190} WARNING - 8.9%
[2024-09-11T08:00:30.807+0000] {logging_mixin.py:190} WARNING - 9.1%
[2024-09-11T08:00:30.818+0000] {logging_mixin.py:190} WARNING - 9.2%
[2024-09-11T08:00:30.829+0000] {logging_mixin.py:190} WARNING - 9.3%
[2024-09-11T08:00:30.842+0000] {logging_mixin.py:190} WARNING - 9.5%
[2024-09-11T08:00:30.852+0000] {logging_mixin.py:190} WARNING - 9.6%
[2024-09-11T08:00:30.862+0000] {logging_mixin.py:190} WARNING - 9.7%
[2024-09-11T08:00:30.875+0000] {logging_mixin.py:190} WARNING - 9.8%
[2024-09-11T08:00:30.890+0000] {logging_mixin.py:190} WARNING - 10.0%
[2024-09-11T08:00:30.900+0000] {logging_mixin.py:190} WARNING - 10.1%
[2024-09-11T08:00:30.910+0000] {logging_mixin.py:190} WARNING - 10.2%
[2024-09-11T08:00:30.925+0000] {logging_mixin.py:190} WARNING - 10.4%
[2024-09-11T08:00:30.933+0000] {logging_mixin.py:190} WARNING - 10.5%
[2024-09-11T08:00:30.944+0000] {logging_mixin.py:190} WARNING - 10.6%
[2024-09-11T08:00:30.955+0000] {logging_mixin.py:190} WARNING - 10.7%
[2024-09-11T08:00:30.967+0000] {logging_mixin.py:190} WARNING - 10.9%
[2024-09-11T08:00:30.978+0000] {logging_mixin.py:190} WARNING - 11.0%
[2024-09-11T08:00:30.989+0000] {logging_mixin.py:190} WARNING - 11.1%
[2024-09-11T08:00:31.000+0000] {logging_mixin.py:190} WARNING - 11.2%
[2024-09-11T08:00:31.009+0000] {logging_mixin.py:190} WARNING - 11.4%
[2024-09-11T08:00:31.020+0000] {logging_mixin.py:190} WARNING - 11.5%
[2024-09-11T08:00:31.032+0000] {logging_mixin.py:190} WARNING - 11.6%
[2024-09-11T08:00:31.044+0000] {logging_mixin.py:190} WARNING - 11.8%
[2024-09-11T08:00:31.053+0000] {logging_mixin.py:190} WARNING - 11.9%
[2024-09-11T08:00:31.065+0000] {logging_mixin.py:190} WARNING - 12.0%
[2024-09-11T08:00:31.076+0000] {logging_mixin.py:190} WARNING - 12.1%
[2024-09-11T08:00:31.093+0000] {logging_mixin.py:190} WARNING - 12.3%
[2024-09-11T08:00:31.103+0000] {logging_mixin.py:190} WARNING - 12.4%
[2024-09-11T08:00:31.114+0000] {logging_mixin.py:190} WARNING - 12.5%
[2024-09-11T08:00:31.125+0000] {logging_mixin.py:190} WARNING - 12.7%
[2024-09-11T08:00:31.137+0000] {logging_mixin.py:190} WARNING - 12.8%
[2024-09-11T08:00:31.147+0000] {logging_mixin.py:190} WARNING - 12.9%
[2024-09-11T08:00:31.159+0000] {logging_mixin.py:190} WARNING - 13.0%
[2024-09-11T08:00:31.169+0000] {logging_mixin.py:190} WARNING - 13.2%
[2024-09-11T08:00:31.183+0000] {logging_mixin.py:190} WARNING - 13.3%
[2024-09-11T08:00:31.192+0000] {logging_mixin.py:190} WARNING - 13.4%
[2024-09-11T08:00:31.203+0000] {logging_mixin.py:190} WARNING - 13.6%
[2024-09-11T08:00:31.214+0000] {logging_mixin.py:190} WARNING - 13.7%
[2024-09-11T08:00:31.231+0000] {logging_mixin.py:190} WARNING - 13.8%
[2024-09-11T08:00:31.239+0000] {logging_mixin.py:190} WARNING - 13.9%
[2024-09-11T08:00:31.250+0000] {logging_mixin.py:190} WARNING - 14.1%
[2024-09-11T08:00:31.261+0000] {logging_mixin.py:190} WARNING - 14.2%
[2024-09-11T08:00:31.274+0000] {logging_mixin.py:190} WARNING - 14.3%
[2024-09-11T08:00:31.286+0000] {logging_mixin.py:190} WARNING - 14.4%
[2024-09-11T08:00:31.299+0000] {logging_mixin.py:190} WARNING - 14.6%
[2024-09-11T08:00:31.309+0000] {logging_mixin.py:190} WARNING - 14.7%
[2024-09-11T08:00:31.320+0000] {logging_mixin.py:190} WARNING - 14.8%
[2024-09-11T08:00:31.332+0000] {logging_mixin.py:190} WARNING - 15.0%
[2024-09-11T08:00:31.342+0000] {logging_mixin.py:190} WARNING - 15.1%
[2024-09-11T08:00:31.352+0000] {logging_mixin.py:190} WARNING - 15.2%
[2024-09-11T08:00:31.366+0000] {logging_mixin.py:190} WARNING - 15.3%
[2024-09-11T08:00:31.376+0000] {logging_mixin.py:190} WARNING - 15.5%
[2024-09-11T08:00:31.386+0000] {logging_mixin.py:190} WARNING - 15.6%
[2024-09-11T08:00:31.397+0000] {logging_mixin.py:190} WARNING - 15.7%
[2024-09-11T08:00:31.408+0000] {logging_mixin.py:190} WARNING - 15.9%
[2024-09-11T08:00:31.425+0000] {logging_mixin.py:190} WARNING - 16.0%
[2024-09-11T08:00:31.433+0000] {logging_mixin.py:190} WARNING - 16.1%
[2024-09-11T08:00:31.444+0000] {logging_mixin.py:190} WARNING - 16.2%
[2024-09-11T08:00:31.457+0000] {logging_mixin.py:190} WARNING - 16.4%
[2024-09-11T08:00:31.466+0000] {logging_mixin.py:190} WARNING - 16.5%
[2024-09-11T08:00:31.478+0000] {logging_mixin.py:190} WARNING - 16.6%
[2024-09-11T08:00:31.489+0000] {logging_mixin.py:190} WARNING - 16.7%
[2024-09-11T08:00:31.503+0000] {logging_mixin.py:190} WARNING - 16.9%
[2024-09-11T08:00:31.513+0000] {logging_mixin.py:190} WARNING - 17.0%
[2024-09-11T08:00:31.525+0000] {logging_mixin.py:190} WARNING - 17.1%
[2024-09-11T08:00:31.534+0000] {logging_mixin.py:190} WARNING - 17.3%
[2024-09-11T08:00:31.545+0000] {logging_mixin.py:190} WARNING - 17.4%
[2024-09-11T08:00:31.555+0000] {logging_mixin.py:190} WARNING - 17.5%
[2024-09-11T08:00:31.567+0000] {logging_mixin.py:190} WARNING - 17.6%
[2024-09-11T08:00:31.578+0000] {logging_mixin.py:190} WARNING - 17.8%
[2024-09-11T08:00:31.590+0000] {logging_mixin.py:190} WARNING - 17.9%
[2024-09-11T08:00:31.600+0000] {logging_mixin.py:190} WARNING - 18.0%
[2024-09-11T08:00:31.611+0000] {logging_mixin.py:190} WARNING - 18.2%
[2024-09-11T08:00:31.622+0000] {logging_mixin.py:190} WARNING - 18.3%
[2024-09-11T08:00:31.632+0000] {logging_mixin.py:190} WARNING - 18.4%
[2024-09-11T08:00:31.644+0000] {logging_mixin.py:190} WARNING - 18.5%
[2024-09-11T08:00:31.657+0000] {logging_mixin.py:190} WARNING - 18.7%
[2024-09-11T08:00:31.666+0000] {logging_mixin.py:190} WARNING - 18.8%
[2024-09-11T08:00:31.679+0000] {logging_mixin.py:190} WARNING - 18.9%
[2024-09-11T08:00:31.688+0000] {logging_mixin.py:190} WARNING - 19.0%
[2024-09-11T08:00:31.701+0000] {logging_mixin.py:190} WARNING - 19.2%
[2024-09-11T08:00:31.712+0000] {logging_mixin.py:190} WARNING - 19.3%
[2024-09-11T08:00:31.721+0000] {logging_mixin.py:190} WARNING - 19.4%
[2024-09-11T08:00:31.733+0000] {logging_mixin.py:190} WARNING - 19.6%
[2024-09-11T08:00:31.744+0000] {logging_mixin.py:190} WARNING - 19.7%
[2024-09-11T08:00:31.769+0000] {logging_mixin.py:190} WARNING - 19.8%
[2024-09-11T08:00:31.772+0000] {logging_mixin.py:190} WARNING - 19.9%
[2024-09-11T08:00:31.783+0000] {logging_mixin.py:190} WARNING - 20.1%
[2024-09-11T08:00:31.793+0000] {logging_mixin.py:190} WARNING - 20.2%
[2024-09-11T08:00:31.805+0000] {logging_mixin.py:190} WARNING - 20.3%
[2024-09-11T08:00:31.815+0000] {logging_mixin.py:190} WARNING - 20.5%
[2024-09-11T08:00:31.826+0000] {logging_mixin.py:190} WARNING - 20.6%
[2024-09-11T08:00:31.838+0000] {logging_mixin.py:190} WARNING - 20.7%
[2024-09-11T08:00:31.851+0000] {logging_mixin.py:190} WARNING - 20.8%
[2024-09-11T08:00:31.860+0000] {logging_mixin.py:190} WARNING - 21.0%
[2024-09-11T08:00:31.871+0000] {logging_mixin.py:190} WARNING - 21.1%
[2024-09-11T08:00:31.880+0000] {logging_mixin.py:190} WARNING - 21.2%
[2024-09-11T08:00:31.916+0000] {logging_mixin.py:190} WARNING - 21.3%
[2024-09-11T08:00:31.919+0000] {logging_mixin.py:190} WARNING - 21.5%
[2024-09-11T08:00:31.922+0000] {logging_mixin.py:190} WARNING - 21.6%
[2024-09-11T08:00:31.925+0000] {logging_mixin.py:190} WARNING - 21.7%
[2024-09-11T08:00:31.937+0000] {logging_mixin.py:190} WARNING - 21.9%
[2024-09-11T08:00:31.950+0000] {logging_mixin.py:190} WARNING - 22.0%
[2024-09-11T08:00:31.959+0000] {logging_mixin.py:190} WARNING - 22.1%
[2024-09-11T08:00:31.972+0000] {logging_mixin.py:190} WARNING - 22.2%
[2024-09-11T08:00:31.983+0000] {logging_mixin.py:190} WARNING - 22.4%
[2024-09-11T08:00:31.991+0000] {logging_mixin.py:190} WARNING - 22.5%
[2024-09-11T08:00:32.003+0000] {logging_mixin.py:190} WARNING - 22.6%
[2024-09-11T08:00:32.014+0000] {logging_mixin.py:190} WARNING - 22.8%
[2024-09-11T08:00:32.025+0000] {logging_mixin.py:190} WARNING - 22.9%
[2024-09-11T08:00:32.036+0000] {logging_mixin.py:190} WARNING - 23.0%
[2024-09-11T08:00:32.047+0000] {logging_mixin.py:190} WARNING - 23.1%
[2024-09-11T08:00:32.060+0000] {logging_mixin.py:190} WARNING - 23.3%
[2024-09-11T08:00:32.070+0000] {logging_mixin.py:190} WARNING - 23.4%
[2024-09-11T08:00:32.081+0000] {logging_mixin.py:190} WARNING - 23.5%
[2024-09-11T08:00:32.091+0000] {logging_mixin.py:190} WARNING - 23.6%
[2024-09-11T08:00:32.103+0000] {logging_mixin.py:190} WARNING - 23.8%
[2024-09-11T08:00:32.113+0000] {logging_mixin.py:190} WARNING - 23.9%
[2024-09-11T08:00:32.126+0000] {logging_mixin.py:190} WARNING - 24.0%
[2024-09-11T08:00:32.135+0000] {logging_mixin.py:190} WARNING - 24.2%
[2024-09-11T08:00:32.148+0000] {logging_mixin.py:190} WARNING - 24.3%
[2024-09-11T08:00:32.159+0000] {logging_mixin.py:190} WARNING - 24.4%
[2024-09-11T08:00:32.168+0000] {logging_mixin.py:190} WARNING - 24.5%
[2024-09-11T08:00:32.180+0000] {logging_mixin.py:190} WARNING - 24.7%
[2024-09-11T08:00:32.195+0000] {logging_mixin.py:190} WARNING - 24.8%
[2024-09-11T08:00:32.222+0000] {logging_mixin.py:190} WARNING - 24.9%
[2024-09-11T08:00:32.225+0000] {logging_mixin.py:190} WARNING - 25.1%
[2024-09-11T08:00:32.228+0000] {logging_mixin.py:190} WARNING - 25.2%
[2024-09-11T08:00:32.252+0000] {logging_mixin.py:190} WARNING - 25.3%
[2024-09-11T08:00:32.255+0000] {logging_mixin.py:190} WARNING - 25.4%
[2024-09-11T08:00:32.259+0000] {logging_mixin.py:190} WARNING - 25.6%
[2024-09-11T08:00:32.273+0000] {logging_mixin.py:190} WARNING - 25.7%
[2024-09-11T08:00:32.282+0000] {logging_mixin.py:190} WARNING - 25.8%
[2024-09-11T08:00:32.295+0000] {logging_mixin.py:190} WARNING - 26.0%
[2024-09-11T08:00:32.304+0000] {logging_mixin.py:190} WARNING - 26.1%
[2024-09-11T08:00:32.342+0000] {logging_mixin.py:190} WARNING - 26.2%
[2024-09-11T08:00:32.348+0000] {logging_mixin.py:190} WARNING - 26.3%
[2024-09-11T08:00:32.350+0000] {logging_mixin.py:190} WARNING - 26.5%
[2024-09-11T08:00:32.353+0000] {logging_mixin.py:190} WARNING - 26.6%
[2024-09-11T08:00:32.360+0000] {logging_mixin.py:190} WARNING - 26.7%
[2024-09-11T08:00:32.371+0000] {logging_mixin.py:190} WARNING - 26.8%
[2024-09-11T08:00:32.382+0000] {logging_mixin.py:190} WARNING - 27.0%
[2024-09-11T08:00:32.393+0000] {logging_mixin.py:190} WARNING - 27.1%
[2024-09-11T08:00:32.405+0000] {logging_mixin.py:190} WARNING - 27.2%
[2024-09-11T08:00:32.415+0000] {logging_mixin.py:190} WARNING - 27.4%
[2024-09-11T08:00:32.428+0000] {logging_mixin.py:190} WARNING - 27.5%
[2024-09-11T08:00:32.439+0000] {logging_mixin.py:190} WARNING - 27.6%
[2024-09-11T08:00:32.470+0000] {logging_mixin.py:190} WARNING - 27.7%
[2024-09-11T08:00:32.474+0000] {logging_mixin.py:190} WARNING - 27.9%
[2024-09-11T08:00:32.479+0000] {logging_mixin.py:190} WARNING - 28.0%
[2024-09-11T08:00:32.483+0000] {logging_mixin.py:190} WARNING - 28.1%
[2024-09-11T08:00:32.495+0000] {logging_mixin.py:190} WARNING - 28.3%
[2024-09-11T08:00:32.505+0000] {logging_mixin.py:190} WARNING - 28.4%
[2024-09-11T08:00:32.518+0000] {logging_mixin.py:190} WARNING - 28.5%
[2024-09-11T08:00:32.528+0000] {logging_mixin.py:190} WARNING - 28.6%
[2024-09-11T08:00:32.538+0000] {logging_mixin.py:190} WARNING - 28.8%
[2024-09-11T08:00:32.549+0000] {logging_mixin.py:190} WARNING - 28.9%
[2024-09-11T08:00:32.562+0000] {logging_mixin.py:190} WARNING - 29.0%
[2024-09-11T08:00:32.572+0000] {logging_mixin.py:190} WARNING - 29.1%
[2024-09-11T08:00:32.583+0000] {logging_mixin.py:190} WARNING - 29.3%
[2024-09-11T08:00:32.597+0000] {logging_mixin.py:190} WARNING - 29.4%
[2024-09-11T08:00:32.608+0000] {logging_mixin.py:190} WARNING - 29.5%
[2024-09-11T08:00:32.621+0000] {logging_mixin.py:190} WARNING - 29.7%
[2024-09-11T08:00:32.627+0000] {logging_mixin.py:190} WARNING - 29.8%
[2024-09-11T08:00:32.638+0000] {logging_mixin.py:190} WARNING - 29.9%
[2024-09-11T08:00:32.654+0000] {logging_mixin.py:190} WARNING - 30.0%
[2024-09-11T08:00:32.660+0000] {logging_mixin.py:190} WARNING - 30.2%
[2024-09-11T08:00:32.671+0000] {logging_mixin.py:190} WARNING - 30.3%
[2024-09-11T08:00:32.682+0000] {logging_mixin.py:190} WARNING - 30.4%
[2024-09-11T08:00:32.693+0000] {logging_mixin.py:190} WARNING - 30.6%
[2024-09-11T08:00:32.735+0000] {logging_mixin.py:190} WARNING - 30.7%
[2024-09-11T08:00:32.739+0000] {logging_mixin.py:190} WARNING - 30.8%
[2024-09-11T08:00:32.744+0000] {logging_mixin.py:190} WARNING - 30.9%
[2024-09-11T08:00:32.749+0000] {logging_mixin.py:190} WARNING - 31.1%
[2024-09-11T08:00:32.757+0000] {logging_mixin.py:190} WARNING - 31.2%
[2024-09-11T08:00:32.761+0000] {logging_mixin.py:190} WARNING - 31.3%
[2024-09-11T08:00:32.778+0000] {logging_mixin.py:190} WARNING - 31.4%
[2024-09-11T08:00:32.784+0000] {logging_mixin.py:190} WARNING - 31.6%
[2024-09-11T08:00:32.805+0000] {logging_mixin.py:190} WARNING - 31.7%
[2024-09-11T08:00:32.809+0000] {logging_mixin.py:190} WARNING - 31.8%
[2024-09-11T08:00:32.815+0000] {logging_mixin.py:190} WARNING - 32.0%
[2024-09-11T08:00:32.826+0000] {logging_mixin.py:190} WARNING - 32.1%
[2024-09-11T08:00:32.838+0000] {logging_mixin.py:190} WARNING - 32.2%
[2024-09-11T08:00:32.848+0000] {logging_mixin.py:190} WARNING - 32.3%
[2024-09-11T08:00:32.860+0000] {logging_mixin.py:190} WARNING - 32.5%
[2024-09-11T08:00:32.905+0000] {logging_mixin.py:190} WARNING - 32.6%
[2024-09-11T08:00:32.908+0000] {logging_mixin.py:190} WARNING - 32.7%
[2024-09-11T08:00:32.912+0000] {logging_mixin.py:190} WARNING - 32.9%
[2024-09-11T08:00:32.915+0000] {logging_mixin.py:190} WARNING - 33.0%
[2024-09-11T08:00:32.919+0000] {logging_mixin.py:190} WARNING - 33.1%
[2024-09-11T08:00:32.928+0000] {logging_mixin.py:190} WARNING - 33.2%
[2024-09-11T08:00:32.939+0000] {logging_mixin.py:190} WARNING - 33.4%
[2024-09-11T08:00:32.950+0000] {logging_mixin.py:190} WARNING - 33.5%
[2024-09-11T08:00:32.959+0000] {logging_mixin.py:190} WARNING - 33.6%
[2024-09-11T08:00:32.972+0000] {logging_mixin.py:190} WARNING - 33.7%
[2024-09-11T08:00:32.983+0000] {logging_mixin.py:190} WARNING - 33.9%
[2024-09-11T08:00:33.017+0000] {logging_mixin.py:190} WARNING - 34.0%
[2024-09-11T08:00:33.021+0000] {logging_mixin.py:190} WARNING - 34.1%
[2024-09-11T08:00:33.024+0000] {logging_mixin.py:190} WARNING - 34.3%
[2024-09-11T08:00:33.027+0000] {logging_mixin.py:190} WARNING - 34.4%
[2024-09-11T08:00:33.037+0000] {logging_mixin.py:190} WARNING - 34.5%
[2024-09-11T08:00:33.050+0000] {logging_mixin.py:190} WARNING - 34.6%
[2024-09-11T08:00:33.061+0000] {logging_mixin.py:190} WARNING - 34.8%
[2024-09-11T08:00:33.073+0000] {logging_mixin.py:190} WARNING - 34.9%
[2024-09-11T08:00:33.081+0000] {logging_mixin.py:190} WARNING - 35.0%
[2024-09-11T08:00:33.095+0000] {logging_mixin.py:190} WARNING - 35.2%
[2024-09-11T08:00:33.111+0000] {logging_mixin.py:190} WARNING - 35.3%
[2024-09-11T08:00:33.120+0000] {logging_mixin.py:190} WARNING - 35.4%
[2024-09-11T08:00:33.130+0000] {logging_mixin.py:190} WARNING - 35.5%
[2024-09-11T08:00:33.141+0000] {logging_mixin.py:190} WARNING - 35.7%
[2024-09-11T08:00:33.154+0000] {logging_mixin.py:190} WARNING - 35.8%
[2024-09-11T08:00:33.171+0000] {logging_mixin.py:190} WARNING - 35.9%
[2024-09-11T08:00:33.190+0000] {logging_mixin.py:190} WARNING - 36.1%
